timestamp,age,gender,frequency,categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart,cart_completion_frequency,cart_abandonment_factors,review_left,shopping_satisfaction,service_appreciation,improvement_areas,user_id,date_only
2023-06-04 21:10:08,16,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,No,2,Wide product selection,Shipping speed and reliability,24,2023-06-04
2023-06-04 21:10:51,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,others,Yes,1,Competitive prices,Customer service responsiveness,25,2023-06-04
2023-06-04 21:18:12,24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Yes,3,User-friendly website/app interface,Product quality and accuracy,26,2023-06-04
2023-06-04 21:22:58,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,2,Wide product selection,Shipping speed and reliability,27,2023-06-04
2023-06-04 21:29:59,23,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,No,5,Wide product selection,Reducing packaging waste,28,2023-06-04
2023-06-04 21:40:54,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,others,No,2,User-friendly website/app interface,Shipping speed and reliability,29,2023-06-04
2023-06-04 21:48:15,24,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,No,4,Competitive prices,Reducing packaging waste,30,2023-06-04
2023-06-04 22:13:28,25,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,High shipping costs,Yes,4,Wide product selection,Product quality and accuracy,31,2023-06-04
2023-06-04 22:24:47,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,5,Maybe,Often,Changed my mind or no longer need the item,No,4,Competitive prices,Customer service responsiveness,32,2023-06-04
2023-06-04 22:37:00,23,Female,Less than once a month,others,No,Rarely,others,First page,3,No,Never,others,No,3,Wide product selection,Product quality and accuracy,33,2023-06-04
2023-06-04 23:09:27,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Yes,1,Wide product selection,Reducing packaging waste,34,2023-06-04
2023-06-04 23:12:15,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Yes,1,Competitive prices,Customer service responsiveness,35,2023-06-04
2023-06-04 23:24:41,24,Female,Less than once a month,others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Yes,1,Wide product selection,Product quality and accuracy,36,2023-06-04
2023-06-04 23:27:53,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,No,1,Wide product selection,Shipping speed and reliability,37,2023-06-04
2023-06-04 23:38:30,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,No,2,Wide product selection,Reducing packaging waste,38,2023-06-04
2023-06-04 23:57:10,29,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,No,2,Competitive prices,Customer service responsiveness,39,2023-06-04
2023-06-05 00:02:56,19,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Always,Found a better price elsewhere,Yes,5,Competitive prices,Shipping speed and reliability,40,2023-06-05
2023-06-05 00:05:20,26,Female,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Yes,2,Competitive prices,Product quality and accuracy,41,2023-06-05
2023-06-05 00:36:02,32,Male,Less than once a month,others,No,Rarely,Keyword,First page,1,No,Always,Changed my mind or no longer need the item,No,1,Customer service ,Nothing,42,2023-06-05
2023-06-05 00:37:54,30,Female,Once a month,Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Yes,1,User-friendly website/app interface,Reducing packaging waste,43,2023-06-05
2023-06-05 00:39:14,22,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,others,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,No,2,User-friendly website/app interface,Product quality and accuracy,44,2023-06-05
2023-06-05 00:57:05,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,High shipping costs,Yes,2,User-friendly website/app interface,Shipping speed and reliability,45,2023-06-05
2023-06-05 02:56:10,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Yes,1,Wide product selection,Customer service responsiveness,46,2023-06-05
2023-06-05 04:26:25,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,No,4,Wide product selection,Product quality and accuracy,47,2023-06-05
2023-06-05 07:16:40,24,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,No,3,Product recommendations,Product quality and accuracy,48,2023-06-05
2023-06-05 08:43:26,23,Female,Few times a month,others,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,3,Wide product selection,Product quality and accuracy,49,2023-06-05
2023-06-05 09:20:17,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,No,2,User-friendly website/app interface,Product quality and accuracy,50,2023-06-05
2023-06-05 09:56:58,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,No,3,Competitive prices,Customer service responsiveness,51,2023-06-05
2023-06-05 10:36:38,25,Male,Less than once a month,others,Sometimes,Few times a week,Keyword,First page,4,Yes,Often,Changed my mind or no longer need the item,Yes,3,Wide product selection,Product quality and accuracy,52,2023-06-05
2023-06-05 10:37:36,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,No,2,User-friendly website/app interface,Shipping speed and reliability,53,2023-06-05
2023-06-05 10:53:16,21,Female,Few times a month,Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Yes,1,User-friendly website/app interface,Reducing packaging waste,54,2023-06-05
2023-06-05 11:20:41,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,No,3,Wide product selection,Reducing packaging waste,55,2023-06-05
2023-06-05 11:54:52,26,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Maybe,Sometimes,High shipping costs,Yes,2,Product recommendations,Shipping speed and reliability,56,2023-06-05
2023-06-05 13:10:59,23,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Yes,2,Wide product selection,Product quality and accuracy,57,2023-06-05
2023-06-05 13:27:08,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,High shipping costs,Yes,3,Product recommendations,Reducing packaging waste,58,2023-06-05
2023-06-05 13:28:44,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Yes,1,Competitive prices,Reducing packaging waste,59,2023-06-05
2023-06-05 13:32:57,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,No,3,Wide product selection,Customer service responsiveness,60,2023-06-05
2023-06-05 13:35:41,24,Male,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Yes,2,Wide product selection,Shipping speed and reliability,61,2023-06-05
2023-06-05 13:35:44,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Yes,3,User-friendly website/app interface,Product quality and accuracy,62,2023-06-05
2023-06-05 13:37:01,24,Male,Less than once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Yes,2,User-friendly website/app interface,Shipping speed and reliability,63,2023-06-05
2023-06-05 13:43:00,24,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,1,Maybe,Never,Changed my mind or no longer need the item,No,3,Wide product selection,Product quality and accuracy,64,2023-06-05
2023-06-05 13:45:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,No,3,Product recommendations,Customer service responsiveness,65,2023-06-05
2023-06-05 13:54:28,26,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Yes,4,Competitive prices,Product quality and accuracy,66,2023-06-05
2023-06-05 14:10:33,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,1,Yes,Sometimes,Found a better price elsewhere,No,3,Wide product selection,Product quality and accuracy,67,2023-06-05
2023-06-05 14:16:16,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,No,1,Wide product selection,Product quality and accuracy,68,2023-06-05
2023-06-05 14:17:45,24,Female,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Yes,2,User-friendly website/app interface,Product quality and accuracy,69,2023-06-05
2023-06-05 14:21:37,23,Male,Less than once a month,others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,No,3,Wide product selection,better app interface and lower shipping charges,70,2023-06-05
2023-06-05 14:24:22,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Yes,2,Competitive prices,Product quality and accuracy,71,2023-06-05
2023-06-05 14:25:28,36,Female,Once a month,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Yes,1,User-friendly website/app interface,Shipping speed and reliability,72,2023-06-05
2023-06-05 14:28:10,26,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Yes,1,Wide product selection,Product quality and accuracy,73,2023-06-05
2023-06-05 14:46:25,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,No,1,Customer service,Reducing packaging waste,74,2023-06-05
2023-06-05 15:28:01,23,Male,Less than once a month,others,No,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,No,2,User-friendly website/app interface,Reducing packaging waste,75,2023-06-05
2023-06-05 16:46:52,23,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,No,2,Wide product selection,Product quality and accuracy,76,2023-06-05
2023-06-05 16:49:43,30,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,4,Yes,Often,Found a better price elsewhere,Yes,4,Product recommendations,Customer service responsiveness,77,2023-06-05
2023-06-05 16:50:33,24,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,No,2,Wide product selection,Product quality and accuracy,78,2023-06-05
2023-06-05 16:50:44,47,Prefer not to say,Less than once a month,others,Sometimes,Rarely,others,First page,2,Maybe,Never,Changed my mind or no longer need the item,No,2,User-friendly website/app interface,Shipping speed and reliability,79,2023-06-05
2023-06-05 16:52:12,54,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,4,Yes,Always,others,Yes,5,Competitive prices,Shipping speed and reliability,80,2023-06-05
2023-06-05 18:49:25,58,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,No,3,Competitive prices,Reducing packaging waste,81,2023-06-05
2023-06-05 19:04:21,53,Female,Less than once a month,Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,No,1,Competitive prices,Reducing packaging waste,82,2023-06-05
2023-06-05 20:06:04,23,Prefer not to say,Once a week,Beauty and Personal Care,No,Multiple times a day,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Yes,3,Product recommendations,Reducing packaging waste,83,2023-06-05
2023-06-05 20:07:52,25,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Yes,3,Product recommendations,Customer service responsiveness,84,2023-06-05
2023-06-05 20:44:09,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,No,2,User-friendly website/app interface,Shipping speed and reliability,85,2023-06-05
2023-06-05 20:46:09,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,No,4,User-friendly website/app interface,Customer service responsiveness,86,2023-06-05
2023-06-05 20:47:42,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Yes,Often,others,Yes,3,Competitive prices,Product quality and accuracy,87,2023-06-05
2023-06-05 20:49:12,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,No,Never,High shipping costs,Yes,3,Competitive prices,Shipping speed and reliability,88,2023-06-05
2023-06-05 20:50:24,20,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,categories,First page,1,No,Often,Found a better price elsewhere,No,3,Competitive prices,Reducing packaging waste,89,2023-06-05
2023-06-05 20:52:01,25,Male,Few times a month,others,No,Rarely,others,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,No,3,Wide product selection,Product quality and accuracy,90,2023-06-05
2023-06-05 21:56:02,55,Others,Few times a month,Groceries and Gourmet Food,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Sometimes,High shipping costs,Yes,3,Product recommendations,Customer service responsiveness,91,2023-06-05
2023-06-05 21:56:08,24,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Yes,Rarely,High shipping costs,Yes,4,Wide product selection,Product quality and accuracy,92,2023-06-05
2023-06-05 21:58:17,62,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,No,3,User-friendly website/app interface,Shipping speed and reliability,93,2023-06-05
2023-06-05 22:04:32,27,Male,Less than once a month,others,No,Rarely,others,First page,4,No,Never,others,No,5,Competitive prices,Customer service responsiveness,94,2023-06-05
2023-06-05 22:05:25,34,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,No,2,Wide product selection,Product quality and accuracy,95,2023-06-05
2023-06-05 22:06:15,40,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Yes,2,Competitive prices,Shipping speed and reliability,96,2023-06-05
2023-06-05 22:06:46,22,Others,Less than once a month,others,Yes,Few times a month,categories,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Yes,4,User-friendly website/app interface,Reducing packaging waste,97,2023-06-05
2023-06-05 22:07:31,34,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,Yes,Often,Found a better price elsewhere,Yes,2,User-friendly website/app interface,Product quality and accuracy,98,2023-06-05
2023-06-05 22:07:33,24,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,1,User-friendly website/app interface,Product quality and accuracy,99,2023-06-05
2023-06-05 22:08:15,44,Male,Few times a month,Clothing and Fashion;others,No,Few times a month,categories,First page,5,No,Rarely,Changed my mind or no longer need the item,No,2,Product recommendations,Customer service responsiveness,100,2023-06-05
2023-06-05 22:09:03,31,Female,Once a month,Home and Kitchen;others,Sometimes,Rarely,others,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Yes,2,User-friendly website/app interface,Reducing packaging waste,101,2023-06-05
2023-06-06 08:46:03,23,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,5,No,Rarely,others,No,3,Product recommendations,Product quality and accuracy,102,2023-06-06
2023-06-06 09:37:33,23,Female,Less than once a month,Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,No,1,Wide product selection,Reducing packaging waste,103,2023-06-06
2023-06-06 09:39:32,22,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,No,3,Competitive prices,Customer service responsiveness,104,2023-06-06
2023-06-06 09:45:55,24,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Yes,1,Wide product selection,Customer service responsiveness,105,2023-06-06
2023-06-06 09:47:31,23,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Yes,1,Wide product selection,Customer service responsiveness,106,2023-06-06
2023-06-06 09:59:35,25,Male,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Rarely,others,No,3,Wide product selection,Customer service responsiveness,107,2023-06-06
2023-06-06 10:03:52,23,Male,Once a week,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Yes,2,Competitive prices,Customer service responsiveness,108,2023-06-06
2023-06-06 10:07:39,24,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,others,Yes,2,Competitive prices,Product quality and accuracy,109,2023-06-06
2023-06-06 10:17:06,24,Female,Few times a month,others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,No,2,Wide product selection,Customer service responsiveness,110,2023-06-06
2023-06-06 10:19:05,26,Female,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Yes,1,Product recommendations,Shipping speed and reliability,111,2023-06-06
2023-06-06 10:22:47,25,Female,Less than once a month,Clothing and Fashion,Sometimes,Rarely,categories,First page,5,Yes,Sometimes,Changed my mind or no longer need the item,Yes,3,Wide product selection,Shipping speed and reliability,112,2023-06-06
2023-06-06 10:36:14,26,Male,Few times a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,No,3,Product recommendations,Reducing packaging waste,113,2023-06-06
2023-06-06 10:46:31,29,Male,Less than once a month,others,No,Rarely,Keyword,First page,4,No,Sometimes,Found a better price elsewhere,No,4,Wide product selection,Product quality and accuracy,114,2023-06-06
2023-06-06 11:20:53,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,High shipping costs,Yes,4,Competitive prices,Reducing packaging waste,115,2023-06-06
2023-06-06 11:49:21,30,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Yes,2,Competitive prices,Customer service responsiveness,116,2023-06-06
2023-06-06 12:00:16,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,3,Wide product selection,Customer service responsiveness,117,2023-06-06
2023-06-06 12:52:14,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Never,High shipping costs,No,3,Wide product selection,Reducing packaging waste,118,2023-06-06
2023-06-06 13:06:16,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Yes,2,Product recommendations,Product quality and accuracy,119,2023-06-06
2023-06-06 15:02:38,23,Female,Less than once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,No,1,Wide product selection,Shipping speed and reliability,120,2023-06-06
2023-06-06 16:25:49,27,Male,Once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Yes,1,Wide product selection,Product quality and accuracy,121,2023-06-06
2023-06-06 16:46:25,38,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Yes,2,Wide product selection,Product quality and accuracy,122,2023-06-06
